No,Constellation,Name,NameJ,RA,Dec
1,And,Andromeda,アンドロメダ,10,38
2,Ant,Antlia,ポンプ,156,-35
3,Aps,Apus,ふうちょう,240,-76
4,Aql,Aquila ,わし,296.5,4
5,Aqr,Aquarius ,みずがめ,335,-13
6,Ara,Ara,さいだん,257.5,-55
7,Ari,Aries,おひつじ,37.5,20
8,Aur,Auriga,ぎょしゃ,82.5,39
9,Boo,Bootes ,うしかい,218.75,30
10,Cae,Caelum,ちょうこくぐ,72.5,-38
11,Cam,Camelopardalis,きりん,85,70
12,Cap,Capricornus,やぎ,312.5,-20
13,Car,Carina,りゅうこつ,130,-62
14,Cas,Cassiopeia,カシオペヤ,15,60
15,Cen,Centaurus,ケンタウルス,200,-47
16,Cep,Cepheus,ケフェウス,330,70
17,Cet,Cetus,くじら,27,-4
18,Cha,Chamaeleon,カメレオン,160,-78
19,Cir,Circinus,コンパス,222.5,-63
20,CMa,Canis Major,おおいぬ,101.25,-23
21,CMi,Canis Minor,こいぬ,114.5,3
22,Cnc,Cancer,かに,127.5,20
23,Col,Columba,はと,87.75,-33
24,Com,Coma Berenices,かみのけ,190,23
25,CrA,Corona Australis,みなみのかんむり,277.5,-41
26,CrB,Corona Borealis,かんむり,235,30
27,Crt,Crater,コップ,172.5,-15
28,Cru,Crux,みなみじゅうじ,185,-60
29,Crv,Corvus,からす,185,-21
30,CVn,Canes Venatici,りょうけん,200,39
31,Cyg,Cygnus,はくちょう,309.25,41
32,Del,Delphinus,いるか,310,12
33,Dor,Dorado,かじき,75,-60
34,Dra,Draco,りゅう,255,60
35,Equ,Equuleus,こうま,317.5,7
36,Eri,Eridanus,エリダヌス,57.5,-30
37,For,Fornax,ろ,37.5,-33
38,Gem,Gemini,ふたご,103.25,23.5
39,Gru,Grus,つる,335,-47
40,Her,Hercules,ヘルクレス,253.5,27
41,Hor,Horologium,とけい,50,-52
42,Hya,Hydra,うみへび,157.5,-20
43,Hyi,Hydrus,みずへび,32.25,-72
44,Ind,Indus,インディアン,320,-58
45,Lac,Lacerta,とかげ,336.25,43
46,Leo,Leo,しし,157.5,15
47,Lep,Lepus,うさぎ,82.5,-16
48,Lib,Libra,てんびん,227.5,-14
49,LMi,Leo Minor,こじし,155,33
50,Lup,Lupus,おおかみ,225,-40
51,Lyn,Lynx,やまねこ,117.5,45
52,Lyr,Lyra,こと,281.25,36
53,Men,Mensa,テーブルさん,85,-77
54,Mic,Microscopium,けんびきょう,312.5,-37
55,Mon,Monoceros,いっかくじゅう,105,-3
56,Mus,Musca,はえ,187.5,-70
57,Nor,Norma,じょうぎ,240,-50
58,Oct,Octans,はちぶんぎ,315,-87
59,Oph,Ophiuchus,へびつかい,257,-2
60,Ori,Orion,オリオン,84.25,3
61,Pav,Pavo,くじゃく,287.5,-65
62,Peg,Pegasus,ペガスス,337.5,17
63,Per,Perseus,ペルセウス,57,45
64,Phe,Phoenix,ほうおう,15,-48
65,Pic,Pictor,がか,82.5,-52
66,PsA,Piscis Austrinus,みなみのうお,337.5,-30
67,Psc,Pisces,うお,19.75,11
68,Pup,Puppis,とも,115,-32
69,Pyx,Pyxis,らしんばん,132.5,-28
70,Ret,Reticulum,レチクル,57.5,-63
71,Scl,Sculptor,ちょうこくしつ,5.75,-32
72,Sco,Scorpius,さそり,246.25,-30
73,Sct,Scutum,たて,278.75,-10
74,Ser,Serpens ,へび,251.875,2.5
75,Sex,Sextans,ろくぶんぎ,153.75,-3
76,Sge,Sagitta,や,297.5,17
77,Sgr,Sagittarius,いて,288,-25
78,Tau,Taurus,おうし,62.5,19
79,Tel,Telescopium,ぼうえんきょう,285,-52
80,TrA,Triangulum Australe,みなみのさんかく,235,-65
81,Tri,Triangulum,さんかく,30,32
82,Tuc,Tucana,きょしちょう,352.5,-62
83,UMa,Ursa Major,おおぐま,165,58
84,UMi,Ursa Minor,こぐま,235,78
85,Vel,Vela,ほ,142.5,-45
86,Vir,Virgo,おとめ,200,-2
87,Vol,Volans,とびうお,115,-69
88,Vul,Vulpecula,こぎつね,302.5,25
